Date_Time,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,Load_Type
01-01-2018 00:15,8.75369242545083,2.95,0,0,73.21,100,900,Light_Load
01-01-2018 00:30,4,4.46,0,0,66.77,100,1800,Light_Load
01-01-2018 00:45,3.24,3.28,0,0,70.28,100,8070.88099108933,Light_Load
01-01-2018 01:00,3.31,3.56,0,0,68.09,100,3600,Light_Load
01-01-2018 01:15,3.82,4.5,0,0,133.655666458871,,4500,Light_Load
01-01-2018 01:30,3.28,3.56,0,0,67.76,100,5400,Light_Load
01-01-2018 01:45,3.6,4.14,0,0,65.62,100,6300,Light_Load
01-01-2018 02:00,3.6,4.28,0,0,64.37,100,16589.7364525148,Light_Load
01-01-2018 02:15,5.93061505545153,3.64,0,0,66.94,100,8100,Light_Load
01-01-2018 02:30,3.78,4.72,0,0,62.51,100,9000,Light_Load
01-01-2018 02:45,3.46,4.03,0,0,65.14,100,9900,Light_Load
01-01-2018 03:00,3.24,3.64,0,0,66.49,,10800,Light_Load
01-01-2018 03:15,3.96,4.97,0,0,62.32,100,11700,Light_Load
01-01-2018 03:30,3.31,3.74,0,0,66.27,100,36574.1780799739,Light_Load
01-01-2018 03:45,3.31,3.85,0,0,65.19,100,35294.9630356506,Light_Load
01-01-2018 04:00,3.89,5,0,0,61.4,,14400,Light_Load
01-01-2018 04:15,3.28,3.82,0,0,65.14,100,15300,Light_Load
01-01-2018 04:30,3.56,4.28,0,0,63.95,100,16200,Light_Load
01-01-2018 04:45,,4.54,0,0,63.58,100,17100,Light_Load
01-01-2018 05:00,3.31,10.5437836230674,,0,67.68,100,18000,Light_Load
01-01-2018 05:15,3.56,4.07,,0,65.84,100,18900,Light_Load
01-01-2018 05:30,3.56,7.6835910538347,0,0,65.56,100,19800,Light_Load
01-01-2018 05:45,3.28,3.49,0,0,68.48,100,20700,Light_Load
01-01-2018 06:00,3.78,4.32,0,0,65.85,100,21600,Light_Load
01-01-2018 06:15,3.35,7.11059061391456,0,0,67.72,100,22500,Light_Load
01-01-2018 06:30,3.24,3.35,,0,69.52,100,23400,Light_Load
01-01-2018 06:45,3.89,4.46,0,0,65.73,100,24300,Light_Load
01-01-2018 07:00,3.31,,,0,68.4,100,25200,Light_Load
01-01-2018 07:15,3.28,6.4605058737168,0,0,170.52803996157,100,26100,Light_Load
01-01-2018 07:30,3.85,4.75,0,0,62.97,100,27000,Light_Load
01-01-2018 07:45,3.2,3.6,0,0,66.44,,27900,Light_Load
01-01-2018 08:00,3.31,11.2804656367214,0,0,65.88,100,28800,Light_Load
01-01-2018 08:15,3.78,4.75,0,0,160.601921007895,100,29700,Light_Load
01-01-2018 08:30,3.28,3.74,0,0,65.94,100,30600,Light_Load
01-01-2018 08:45,3.49,4.46,0.18,0,61.63,99.87,31500,Light_Load
01-01-2018 09:00,3.89,0,15.66,0,100,24.11,32400,Light_Load
01-01-2018 09:15,6.23137718612175,0,16.96,0,100,20.76,33300,Light_Load
01-01-2018 09:30,4.03,0,21.28,0,100,33.9190052404078,34200,Light_Load
01-01-2018 09:45,3.92,0,29.3144110239538,0,100,19.98,85881.7182021699,Light_Load
01-01-2018 10:00,3.64,0,16.88,0,100,21.08,36000,Light_Load
01-01-2018 10:15,4.07,0,22.32,0,100,17.94,36900,Light_Load
01-01-2018 10:30,3.71,0,18,0,100,20.19,37800,Light_Load
01-01-2018 10:45,3.6,0,16.92,0,100,20.81,38700,Light_Load
01-01-2018 11:00,4.21,0,23.4,0,247.607177479821,17.71,39600,Light_Load
01-01-2018 11:15,3.49,0,5.65,0,100,52.55,40500,Light_Load
01-01-2018 11:30,3.46,0,9.8780167926154,0,100,58.31,41400,Light_Load
01-01-2018 11:45,4,0,6.7,0,100,51.26,42300,Light_Load
01-01-2018 12:00,3.49,0,4.57,0,100,60.69,43200,Light_Load
01-01-2018 12:15,3.6,0,12.89,0,100,26.9,44100,Light_Load
01-01-2018 12:30,4.25,0,23.15,,100,18.06,45000,Light_Load
01-01-2018 12:45,3.67,0,16.67,0,100,21.5,45900,Light_Load
01-01-2018 13:00,3.67,0,16.63,0,100,21.55,46800,Light_Load
01-01-2018 13:15,12.002161722423,0,50.4833874697753,0,100,17.92,47700,Light_Load
01-01-2018 13:30,3.64,0,35.0362848573695,0,100,21.25,48600,Light_Load
01-01-2018 13:45,9.33456383949238,0,16.99,0,100,21.11,49500,Light_Load
01-01-2018 14:00,4.28,0,23.4,0,100,17.99,50400,Light_Load
01-01-2018 14:15,3.64,0,16.67,0,100,21.33,51300,Light_Load
01-01-2018 14:30,3.78,0,40.7489660337353,0,100,51.1682856825312,52200,Light_Load
01-01-2018 14:45,4.1,0,22.1,0,262.762141431779,28.97231203123,53100,Light_Load
01-01-2018 15:00,3.64,0,16.7,0,100,21.3,54000,Light_Load
01-01-2018 15:15,3.92,0,19.33,0,100,19.87,54900,Light_Load
01-01-2018 15:30,4.1,0,21.35,0,100,18.86,55800,Light_Load
01-01-2018 15:45,3.6,0,16.81,0,100,20.94,56700,Light_Load
01-01-2018 16:00,3.96,0,41.7195425698509,0,100,19.01,57600,Light_Load
01-01-2018 16:15,4,0,20.77,0,100,52.0643859569928,58500,Light_Load
01-01-2018 16:30,3.6,0,16.81,0,100,20.94,59400,Light_Load
01-01-2018 16:45,7.93596763143446,0,21.64,0,100,18.48,60300,Light_Load
01-01-2018 17:00,3.82,0,19.19,0,100,19.52,61200,Light_Load
01-01-2018 17:15,10.6576298457506,0,50.0389277497825,0,201.570514852244,20.54,62100,Light_Load
01-01-2018 17:30,11.6209720310783,0,23.51,0,186.381372305707,31.1540111616405,63000,Light_Load
01-01-2018 17:45,3.6,0,17.39,,281.70927304619,20.27,63900,Light_Load
01-01-2018 18:00,3.6,0,17.35,0,100,,64800,Light_Load
